"city","district","statetin","pincode","created_at","updated_at"
"Vijayawada (Urban)","Krishna",37,520002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520007,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521151,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520013,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vuyyuru","Krishna",37,521153,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada","Krishna",37,521104,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520013,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521139,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521137,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Rural)","Krishna",37,521108,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520008,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521403,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521109,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521235,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521110,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521245,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520012,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520008,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520015,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521211,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520012,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521182,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521178,"2018-06-30 22:47:43","2018-06-30 22:47:43"
